location,number_of_banners,flags,population,source
anbar,7,iraqi,200,international
anbar,0,iraqi_isis,750,regional
nineveh,7,iraqi,75,regional
baghdad,9,iraqi,200,international
baghdad,12,iraqi,200,international
kirkuk,2,none,75,regional
anbar,5,iraqi,750,regional
baghdad,2,iranian,15,international
salah_al_din,3,none,20,regional
syria,5,syrian,15,international
salah_al_din,0,iraqi,2,international
anbar,3,syrian,100,international
anbar,8,iraqi_syrian,400,international
anbar,5,iraqi_isis,400,international
anbar,3,iraqi,30,international
nineveh,0,isis,50,international
nineveh,1,iraqi,50,regional
anbar,9,iraqi,25,international
dhi_qar,4,iraqi,25,regional
baghdad,8,none,25,regional
diyala,6,iraqi,25,regional
basra,15,iraqi,35,regional
dhi_qar,4,iraqi,25,regional
basra,1,tribal,50,regional
baghdad,1,iraqi,200,international
baghdad,5,iraqi,1000,international
baghdad,5,iraqi,1000,regional
karbala,3,iraqi,75,regional
baghdad,4,iraqi,75,regional
dhi_qar,2,iraqi,50,regional
dhi_qar,2,iraqi,20,regional
dhi_qar,0,iraqi,30,regionnal
baghdad,3,iraqi,30,regional
karbala,2,iraqi,30,regional
baghdad,1,turkish,15,regional
israel,8,israeli_kurdish,20,regional
israel,1,israeli_kurdish,200,regional
syria,1,syrian_kurdish,75,international
iran,1,kurdish,150,regional
diyala,0,iraqi_kurdish,20,regional
israel,2,israeli_kurdish,15,regional
sulimaniya,4,none,20,international
kirkuk,5,iraqi,75,regional
iraqi_kurdistan,0,israeli_kurdish,50,regional
iraqi_kurdistan,0,israeli_kurdish,250,regional
iraqi_kurdistan,0,israeli_kurdish,200,international
iraqi_kurdistan,0,kurdish,500,international
baghdad,11,iraqi,20,regional
anbar,2,iraqi,75,regional
baghdad,15,tribal,120,regional
baghdad,0,iraqi,250,international
baghdad,5,iraqi,400,international
baghdad,0,iraqi,75,international
baghdad,9,iraqi,200,international
anbar,8,iraqi,250,international
kirkuk,7,none,15,international
baghdad,0,iraqi,300,international
irbil,3,kurdish,20,international
baghdad,5,iraqi,20,regional
baghdad,1,iraqi,5,regional
baghdad,3,iraqi,15,regional
baghdad,5,none,10,regional
baghdad,7,iraqi,20,regional
baghdad,15,iraqi,20,regional
baghdad,3,iraqi,10,regional
baghdad,7,iraqi,15,regional
diyala,1,iraqi,25,regional
baghdad,1,iraqi,30,regional
baghdad,0,iraqi,150,international
baghdad,5,iraqi,75,regional
anbar,0,iraqi,5,international
anbar,4,iraqi,100,regional
diyala,1,none,50,regional
diyala,5,iraqi,75,regional
baghdad,1,iraqi,50,regional